repository,commit,architecture_smell,refactoring_type,rank
ant,1ba5087df429abe38dd22fe5c9ddbc343280f0ae,Excessive Package Coupling,Replace Variable With Attribute,6
ant,948ce9bca757a323b0e07ce25a10a76f759898ba,Cyclic Dependency,Add Thrown Exception Type,1
ant,948ce9bca757a323b0e07ce25a10a76f759898ba,Excessive Package Coupling,Add Thrown Exception Type,1
ant,b417973d391382a96e26e6c50751b9b24f85b239,Cyclic Dependency,Change Variable Type,1
ant,b417973d391382a96e26e6c50751b9b24f85b239,Cyclic Dependency,Extract Variable,2
ant,b417973d391382a96e26e6c50751b9b24f85b239,Cyclic Dependency,Rename Variable,3
ant,b417973d391382a96e26e6c50751b9b24f85b239,Excessive Package Coupling,Change Variable Type,1
ant,b417973d391382a96e26e6c50751b9b24f85b239,Excessive Package Coupling,Extract Variable,2
ant,b417973d391382a96e26e6c50751b9b24f85b239,Excessive Package Coupling,Rename Variable,3
ant,38c2a2a22283450dab6afcf3d3ec094c67dc1e4e,Cyclic Dependency,Extract Method,1
ant,38c2a2a22283450dab6afcf3d3ec094c67dc1e4e,Cyclic Dependency,Parameterize Variable,2
ant,38c2a2a22283450dab6afcf3d3ec094c67dc1e4e,Cyclic Dependency,Rename Variable,3
ant,38c2a2a22283450dab6afcf3d3ec094c67dc1e4e,Excessive Package Coupling,Extract Method,1
ant,38c2a2a22283450dab6afcf3d3ec094c67dc1e4e,Excessive Package Coupling,Parameterize Variable,2
ant,38c2a2a22283450dab6afcf3d3ec094c67dc1e4e,Excessive Package Coupling,Rename Variable,3
lucene,58bcd780a9a37d81dfcb6f4f17acccaddc03a438,Cyclic Dependency,Add Parameter Modifier,1
lucene,58bcd780a9a37d81dfcb6f4f17acccaddc03a438,Cyclic Dependency,Add Variable Modifier,2
lucene,58bcd780a9a37d81dfcb6f4f17acccaddc03a438,Large Component,Add Parameter Modifier,1
lucene,58bcd780a9a37d81dfcb6f4f17acccaddc03a438,Large Component,Add Variable Modifier,2
lucene,58bcd780a9a37d81dfcb6f4f17acccaddc03a438,Excessive Package Coupling,Add Parameter Modifier,1
lucene,58bcd780a9a37d81dfcb6f4f17acccaddc03a438,Excessive Package Coupling,Add Variable Modifier,2
lucene,89a554ffab239c0118ccd454d76cdf714d793911,Cyclic Dependency,Encapsulate Attribute,1
lucene,89a554ffab239c0118ccd454d76cdf714d793911,Cyclic Dependency,Inline Variable,2
lucene,89a554ffab239c0118ccd454d76cdf714d793911,Large Component,Encapsulate Attribute,1
lucene,89a554ffab239c0118ccd454d76cdf714d793911,Large Component,Inline Variable,2
lucene,89a554ffab239c0118ccd454d76cdf714d793911,Excessive Package Coupling,Encapsulate Attribute,1
lucene,89a554ffab239c0118ccd454d76cdf714d793911,Excessive Package Coupling,Inline Variable,2
lucene,2ae22a31e362c283a9b1a58621bd51512c1d5741,Cyclic Dependency,Add Class Modifier,1
lucene,2ae22a31e362c283a9b1a58621bd51512c1d5741,Cyclic Dependency,Extract And Move Method,2
lucene,2ae22a31e362c283a9b1a58621bd51512c1d5741,Cyclic Dependency,Extract Method,3
lucene,2ae22a31e362c283a9b1a58621bd51512c1d5741,Cyclic Dependency,Invert Condition,4
lucene,2ae22a31e362c283a9b1a58621bd51512c1d5741,Cyclic Dependency,Remove Class Modifier,5
lucene,2ae22a31e362c283a9b1a58621bd51512c1d5741,Cyclic Dependency,Rename Class,6
lucene,2ae22a31e362c283a9b1a58621bd51512c1d5741,Cyclic Dependency,Rename Parameter,7
lucene,2ae22a31e362c283a9b1a58621bd51512c1d5741,Large Component,Extract Method,1
lucene,2ae22a31e362c283a9b1a58621bd51512c1d5741,Large Component,Add Class Modifier,2
lucene,2ae22a31e362c283a9b1a58621bd51512c1d5741,Large Component,Extract And Move Method,3
lucene,2ae22a31e362c283a9b1a58621bd51512c1d5741,Large Component,Invert Condition,4
lucene,2ae22a31e362c283a9b1a58621bd51512c1d5741,Large Component,Remove Class Modifier,5
lucene,2ae22a31e362c283a9b1a58621bd51512c1d5741,Large Component,Rename Class,6
lucene,2ae22a31e362c283a9b1a58621bd51512c1d5741,Large Component,Rename Parameter,7
lucene,2ae22a31e362c283a9b1a58621bd51512c1d5741,Excessive Package Coupling,Add Class Modifier,1
lucene,2ae22a31e362c283a9b1a58621bd51512c1d5741,Excessive Package Coupling,Extract And Move Method,2
lucene,2ae22a31e362c283a9b1a58621bd51512c1d5741,Excessive Package Coupling,Extract Method,3
lucene,2ae22a31e362c283a9b1a58621bd51512c1d5741,Excessive Package Coupling,Invert Condition,4
lucene,2ae22a31e362c283a9b1a58621bd51512c1d5741,Excessive Package Coupling,Remove Class Modifier,5
lucene,2ae22a31e362c283a9b1a58621bd51512c1d5741,Excessive Package Coupling,Rename Class,6
lucene,2ae22a31e362c283a9b1a58621bd51512c1d5741,Excessive Package Coupling,Rename Parameter,7
lucene,e120b8bd512967bb0c683f64d45546f5c617b548,Cyclic Dependency,Move Class,1
lucene,e120b8bd512967bb0c683f64d45546f5c617b548,Cyclic Dependency,Move Package,2
lucene,e120b8bd512967bb0c683f64d45546f5c617b548,Large Component,Move Class,1
lucene,e120b8bd512967bb0c683f64d45546f5c617b548,Large Component,Move Package,2
lucene,e120b8bd512967bb0c683f64d45546f5c617b548,Excessive Package Coupling,Move Class,1
lucene,e120b8bd512967bb0c683f64d45546f5c617b548,Excessive Package Coupling,Move Package,2
